id,Id,Sentence,predicted_relations_id,predicted_relations
15,14,"<s><e1>ప్రాణహిత నది</e1> గోదావరి నదికి అతిపెద్ద ఉపనది, ఇది పెన్‌గాంగా నది, <e2>వార్ధా నది</e2>, వైన్‌గంగా నదుల మిశ్రమ జలాలను నీటి పారుదల బేసిన్లో 34% కలిగి ఉంటుంది. అనేక ఉపనదుల కారణంగా ఈ నది మహారాష్ట్రలోని విదర్భ ప్రాంతమంతా, అలాగే సత్పురా శ్రేణుల దక్షిణ వాలులను ప్రవహిస్తుంది. ఇది మహారాష్ట్రలోని గాడ్చిరోలి జిల్లా, తెలంగాణలోని ఆదిలాబాద్ జిల్లా సరిహద్దులో ప్రవహిస్తుంది. ప్రాణహిత ఉప-బేసిన్ భారతదేశంలో పెద్దవాటిలో ఏడవది. ఇది 109.078 km 2 విస్తీర్ణం ఉంటుంది. ఇది నర్మదా నది, కావేరి వంటి ముఖ్యమైన నదుల వ్యక్తిగత బేసిన్ల కంటే పెద్దదిగా ఉంటుంది.</s>",16,tributary
16,15,"<s><e1>राष्ट्रीय पादप आनुवंशिक संसाधन ब्यूरो</e1>,क्षेत्रीय केन्द्र,​राँची. प्रमुख का नाम डॉ संतोष कुमार बिश्नोई. पदनाम वैज्ञानिक एवं प्रभारी अधिकारी. पता भा.कृ.अनु.प.राष्ट्रीय पादप आनुवंशिक संसाधन ब्यूरो,क्षेत्रीय केन्द्र,प्लांडु.​नामकुम,. प्राधिकरण के सदस्य पौधा किस्म और कृषक अधिकार. भारत सरकार ने पादप आनुवंशिक संसाधनों के संकट से उबरने के लिए <e2>भारतीय कृषि अनुसंधान परिषद</e2> के अंतर्गत राष्ट्रीय पादप आनुवंशिक संसाधन ब्यूरो की स्थापना अगस्त १९७६ में नई दिल्ली में की थी</s>",4,parent_organization
17,16,"<s><e1>क्रेग फेडरिघी</e1> <e2>एप्पल इंक॰</e2> में सॉफ्टवेयर इंजीनियरिंग विभाग के वरिष्ठ उपाध्यक्ष हैं  फेडरिघी ने कैलिफोर्निया विश्वविद्यालय, बर्कले से इलेक्ट्रिकल इंजीनियरिंग में स्नातक और कंप्यूटर विज्ञान में स्नातकोत्तर उपाधि विज्ञान अर्जित की</s>",10,employer
18,17,"<s>1953 లో ప్రముఖ భారతీయ నటుడు, దర్శకుడు <e2>గురుదత్</e2>ని ఈవిడ వివాహం చేసుకుంది. తర్వాత ఈమె పేరు <e1>గీతా దత్</e1> గా మారింది.</s>",11,spouse
19,18,"<s><e2>భూదేవి</e2> ప్రసాదించిన వైష్ణవాస్త్రాన్ని <e1>నరకాసురుడు</e1> తన కుమారుడైన భగదత్తుడుకి ఇస్తాడు. అస్రాల్లో కంటే ఎంతో వేగవంతమైన ఈ వైష్ణవాస్త్రానికి తిరుగు ఉండదు. అంతేకాకుండా నరకాసురిడి దగ్గర సుప్రతిక అనే శక్తివంతమైన ఏనుగు కూడా ఉంది. కురుక్షేత్ర యుద్ధంలో భగదత్తుడు కౌరవుల పక్షాన పోరాడాడు. అతను తన ఏనుగుపై యుద్ధం చేసే నైపుణ్యం కలవాడు. యుద్ధం జరిగిన 12వ రోజు అర్జునుడితో భీకర యుద్ధంలో పాల్గొన్నాడు. భగదత్తుడి పద్నాలుగు ఇనప గదల్ని అర్జునుడు ముక్కలు చేశాడు. భగదత్తుడి రాజఛత్రాన్నీ ధ్వజాన్నీ ముక్కలు చేయగా, కోపంతో భగదత్తుడు తన చేతిలో ఉన్న అంకుశాన్ని వైష్ణవాస్త్ర మంత్రంతో అర్జునుడిపై వదిలాడు.[3] అది చూసి కృష్ణుడు రథసారధి స్థానం వద్ద నిలబడి వైష్ణవస్త్రానికి ఎదురునిలవగా ఆ అస్త్రం దండగా కృష్ణుడి మెడలో పడి వైజయంతీమాలగా మారిపోయింది. (విష్ణువు భగదత్తుడికికు ఇచ్చిన ఆయుధం చివరికి తన అవతారం దగ్గరికే తిరిగి వచ్చింది).</s>",5,mother
20,19,"<s><e1>సరదాగా కాసేపు</e1> 2010 సెప్టెంబరు 17 న విడుదలైన తెలుగు కామెడీ చిత్రం.[1] <e2>వంశీ</e2> దర్శకత్వం వహించిన ఈ సినిమాలో అల్లరి నరేష్, మధురిమ, శ్రీనివాస్ అవసరాల ప్రధాన పాత్రల్లో నటించారు. ఈ చిత్రం 2010 సెప్టెంబరు 17 న విడుదలైంది. ప్రియదర్శన్ దర్శకత్వం వహించిన 1986 మలయాళ చిత్రం మాజా పేయున్నూ మద్దలం కొట్టున్నకు ఇది రీమేక్.</s>",15,director
21,20,"<s>తూర్పు భాగాన, భారత సైన్యం ముక్తి బాహినితో కలిసి మిత్రో బాహిని (""సంకీర్ణ బలగాలు"") స్థాపించింది; 1965వ సంవత్సరపు యుద్ధంలోని అతిజాగ్రత్తతో కూడిన సైనిక చర్యలలాగా, నెమ్మదిగా చేసే పురోగమనాలలాగా కాకుండా, ఈసారి వేగంగా సాయుధ విభాగాలు కలిగిన తొమ్మిది పదాతిదళాల పై చేసే త్రిముఖ దాడి, ఆ తరువాత <e1>తూర్పు పాకిస్తాన్</e1> రాజధాని అయిన <e2>ఢాకా</e2>లో వేగంగా కలుస్తోన్న వాయుసేన యొక్క మద్దతుని అందకుండా చేయటాన్ని వ్యూహంగా రచించారు.</s>",14,capital
22,21,"<s><e1>द ट्रिब्यून</e1> ट्रस्ट के ट्रस्टी जस्टिस एसएस सोढी (सेवानिवृत्त) और गुरबचन जगत, ‘द ट्रिब्यून’ के संपादक राजेश रामचंद्रन, पंजाबी ट्रिब्यून के संपादक स्वराजबीर सिंह और महाप्रबंधक विनय वर्मा ने सरदार <e2>दयाल सिंह मजीठिया</e2> को श्रद्धांजलि दी</s>",12,founded_by
23,22,<s>করাচী বন্দরে <e1>অপারেশন ট্রাইডেন্ট</e1>ের প্রথম হামলার পর প্রচুর <e2>ভারত</e2>ীয় নৌ-জাহাজের উপস্থিতি দেখে অন্য আরেকটি হামলা পরিকল্পনার কথা আশঙ্কা করে পাকিস্তান তাদের উপকূলবর্তী এলাকায় আকাশপথে নজরদারি জোরদার করে এবং বাণিজ্য জাহাজের সাথে যুদ্ধ জাহাজ মিশিয়ে ভারতীয় নৌবাহিনীকে ধোঁকা দেওয়ার চেষ্টা করে</s>,19,participant
24,23,"<s>1919 में बेटे <e2>हेनरी फ़ोर्ड</e2>, Edsel ब्रायन <e1>फोर्ड</e1>, अन्य शेयरधारकों के शेयरों का हिस्सा खरीदा, जिसके बाद कंपनी एक पारिवारिक व्यवसाय बन गई</s>",12,founded_by
25,24,<s><e1>నచ్చావులే</e1> 2008లో విడుదలైన తెలుగు చిత్రం. ఉషాకిరణ్ మూవీస్ పతాకంపై నిర్మాత రామోజీరావు నిర్మించగా <e2>రవిబాబు</e2> దర్శకత్వం వహించాడు. ఈ చిత్ర సంగీతం మంచి విజయాన్ని సాధించింది.</s>,15,director
26,25,"<s>यह स्पार्टा और एथेंस के बीच हुए युद्ध पर अत्यंत प्रामाणिक और सजीव वर्णानात्मक ग्रंथ है,  इसी एक ग्रंथ ने <e1>थ्यूसीदाइदीज</e1>़ को चोटी के <e2>इतिहासकार</e2>ों की कोटि में स्थान प्रदान किया</s>",1,occupation
27,26,<s><e1>झील के उस पार</e1> 1973 में बनी <e2>हिन्दी</e2> भाषा की फिल्म है</s>,18,original_language_of_film_or_TV_show
28,27,<s>রেনি জেলওয়েগারের অভিনয়ে <e2>জুডি গারল্যান্ড</e2>ের আসন্ন জীবনী চলচ্চিত্রে অভিনয় কিংবদন্তীর কন্যা <e1>লাইজা মিনেলি</e1>র অনুমোদন নেই বলে জানা গেছে</s>,5,mother
29,28,"<s><e2>హైదరాబాద్</e2>, <e1>తెలంగాణ</e1> రాజధాని నగరం భారతదేశం యొక్క ఇతర ప్రాంతాలకు రహదారి, రైలు మరియు గాలి ద్వారా బాగా అనుసంధానించబడి ఉంది మరియు తెలంగాణ ఇతర ప్రాంతాలకు బాగా అందుబాటులో ఉంది. బాగంపేట రోడ్డు రవాణా ద్వారా చాలా చేరుకోవచ్చు మరియు ఇది ఒక ప్రత్యేకమైన ఎం ఎం టి సి స్టేషన్ను కలిగి ఉంది, స్థానిక రైలు ద్వారా నగరంలోని ఇతర గమ్యస్థానాలతో ఈ ప్రదేశాన్ని కలుపుతుంది.</s>",14,capital
30,29,"<s><e1>मध्यम दूरी परमाणु शक्ति संधि</e1> संयुक्त राज्य अमेरिका और तत्कालीन <e2>सोवियत संघ</e2> ने मध्यम दूरी के परमाणु प्रक्षेपास्त्रों को समाप्त करने के लिये 8 दिसंबर, 1987 को मध्यम दूरी परमाणु शक्ति संधि पर हस्ताक्षर किए</s>",19,participant
31,30,"<s>এক সাক্ষাৎকারে <e1>শার্লক হোমস</e1> নির্মাণের অনুপ্রেরণার কথা বলতে গিয়ে <e2>গাই রিচি</e2> ফিরে গিয়েছিলেন নিজের শৈশবে, ‘ডরমিটরিতে থাকার সময় আমরা লাউডস্পিকারে শার্লকের গল্পগুলো শুনতাম</s>",15,director
32,31,"<s>মুহাম্মদ আলি শাহ (হিন্দি: मुहम्मद अली शाह, উর্দু: محمّد علی شاہ‎‎) (উর্দু:محمّد علی شاہ) (১৭৭৭ – ৭ মে ১৮৪২) ছিলেন আওধের তৃতীয় বাদশাহ, ১৮৩৭ সালের ৭ জুলাই থেকে ১৮৪২ সালের ৭ মে পর্যন্ত তিনি ক্ষমতায় ছিলেন, তিনি ছিলেন <e2>দ্বিতীয় সাদাত আলি খান</e2>ের পুত্র, <e1>গাজিউদ্দিন হায়দার শাহ</e1>র ভাই এবং নাসিরউদ্দিন হায়দার শাহর চাচা</s>",6,father
33,32,"<s>కళ కూడా జీవితాల పై ప్రభావితం చూపిస్తుందా అనిపిస్తుంది ఒక్కోసారి. గీతాదత్‌ ‘కాగజ్‌ కే ఫూల్‌’ (1959)లో పాడిన ఆ పాట ఆమె భవిష్యత్తును సూచిస్తోంది. కాలం చూపబోతున్న అందమైన ప్రతీకారాన్ని అది సంకేతపరిచిందా? చెప్పలేము. గీతారాయ్‌. ఎస్‌. అదే అసలు పేరు ఆమెది. కాని దర్శకుడు <e1>గురుదత్</e1>‌ను వివాహం చేసుకోవడం వల్ల <e2>గీతా దత్</e2>‌ అయ్యింది. మంచినీటి వంటి గొంతు కలిగిన ఈ గాయని లతా మంగేష్కర్‌ కంటే ముందు సురయ్యా, షంషాద్‌ బేగంల జమానాలో సూపర్‌స్టార్‌. అప్రమేయంగా పాట పాడటం ఆమెకు వచ్చు. గొంతు సవరించుకోవడం, ఈ శృతి ఎక్కువో తక్కువో అని నసగడం ఆమె ఎరగదు. కోల్‌కతా నుంచి పాటను తన జడపువ్వుగా ధరించి ముంబై చేరుకుంది. ఎన్నో పాటలను సువాసనలుగా వెదజల్లింది. అయితే ఇంకొన్నాళ్లు నిలిచి ఉండకుండా ఎండి తొందరగా రాలిపోయింది.</s>",11,spouse
34,33,"<s>దూన్ వాలీ గా ప్రసిద్ది చెందిన <e2>డెహ్రాడూన్</e2>, <e1>ఉత్తరాఖండ్</e1> రాష్ట్ర రాజధాని. ఈ ప్రదేశం సముద్ర మట్టానికి షుమారు 2100 అడుగుల ఎత్తువద్ద విస్తరించి ఉంది, ఇది శివాలిక్ పర్వత శ్రేణుల దిగువ భాగంలో ఉంది. యమునా నది పశ్చిమాన ప్రవహిస్తే, గంగా నది డెహ్రాడూన్ కి తూర్పు వైపున ప్రవహిస్తుంది. ‘డేహ్రా’ అనే పదం నుండి ఉద్భవించిన డెహ్రాడూన్ ‘డేహ్రా’ అనగా ‘కాంప్’, ‘డున్’ అనగా ‘పర్వతాల దిగువన ఉన్న తక్కువ భూములు’ అని అర్ధం.</s>",14,capital
35,34,"<s><e1>প্রবোধচন্দ্র বাগচী</e1> (ইংরেজি: Prabodh Chandra Bagchi (১৮ নভেম্বর ১৮৯৮ - ১৯ জানুয়ারি ১৯৫৬) ছিলেন বিংশ শতাব্দীর ভারতীয় উপমহাদেশের অন্যতম পণ্ডিত, সাহিত্যের গবেষক এবং শিক্ষাবিদ  তিনি ছিলেন <e2>বিশ্বভারতী বিশ্ববিদ্যালয়</e2>ের তৃতীয় উপাচার্য</s>",10,employer
36,35,"<s><e1>బాబీ</e1> 2002, నవంబర్ 1న విడుదలైన తెలుగు చలన చిత్రం. <e2>శోభన్</e2> దర్శకత్వం వహించిన ఈ చిత్రంలో మహేష్ బాబు, ఆర్తీ అగర్వాల్, రఘువరన్, ప్రకాష్ రాజ్, పోసాని కృష్ణ మురళి, రవిబాబు, రమ్యక్రిష్ణ, బ్రహ్మానందం తదితరులు ముఖ్యపాత్రలలో నటించగా, మణిశర్మ సంగీతం అందించారు.[1]</s>",15,director
37,36,"<s><e1>ప్రభుదేవా</e1> ప్రముఖ నృత్య కళాకారుడు, నృత్య కళా దర్శకుడు, నటుడు, దర్శకుడు. తమిళ, తెలుగు, కన్నడ, హిందీ, మలయాళ సినీ పరిశ్రమలో పనిచేశాడు. ఇరవై ఐదు సంవత్సరాల పైగా సినీ జీవితంలో ప్రభుదేవా పలు రకాలైన నృత్య రీతులకు రూపకల్పన చేశాడు, ప్రదర్శించాడు. ఉత్తమ నృత్య దర్శకుడిగా రెండు జాతీయ సినీ పురస్కారాలను అందుకున్నాడు.[1] అభిమానులు ఇతన్ని ఇండియన్ మైఖేల్ జాక్సన్ అని పిలుచుకుంటారు.[2] తండ్రి <e2>సుందరం మాస్టర్</e2> స్ఫూర్తితో నాట్యంపై ఆసక్తి పెంచుకున్న ప్రభుదేవా టీనేజీ వయసు నుంచే నృత్య దర్శకత్వం చేయనారంభించాడు. తర్వాత నటుడిగా మారి కొన్ని చిత్రాల్లో కథానాయకుడిగా, సహనటుడిగా కనిపించాడు. నువ్వొస్తానంటే నేనొద్దంటానా చిత్రంతో దర్శకుడిగా మారి పలు చిత్రాలకు దర్శకత్వం వహించాడు. ప్రభు సోదరులు రాజు సుందరం, నాగేంద్ర ప్రసాద్ కూడా నృత్య కళాకారులే.</s>",6,father
38,37,"<s><e2>আবু নূর মোহাম্মদ এহতেশামর রহমান</e2> (১২ অক্টোবর ১৯২৭ – ১৭ ফেব্রুয়ারি ২০০২), যিনি এহতেশাম, নামে অধিক পরিচিত একজন পাকিস্তানি এবং বাংলাদেশি চলচ্চিত্র পরিচালক, চলচ্চিত্র পরিবেশক হিসেবে কর্মজীবন শুরুর পর বাংলাদেশ চলচ্চিত্র উন্নয়ন সংস্থা প্রতিষ্ঠিত হলে তিনি ১৯৫৯ সালে ""<e1>এ দেশ তোমার আমার</e1>"" চলচ্চিত্র নির্মাণ করেন</s>",15,director
39,38,"<s>পরিচালক <e2>কবির খান</e2> এই চলচ্চিত্রের জন্য কন্নড় ভাষায় তৈরিকৃত <e1>টিউবলাইট</e1> চলচ্চিত্রের পরিচালক হতে অনাপত্তিপত্র পেয়েছেন, এই চলচ্চিত্রের প্রথম অংশ চিত্রায়ন শুরু হয় ২০১৬ সালের জুলাইয়ে লাদাখে</s>",15,director
40,39,<s><e1>तेरे मेरे सपने</e1> 1996 में बनी <e2>हिन्दी</e2> भाषा की फिल्म है जिसके निर्माता अमिताभ बच्चन और निर्देशक जॉय ऑगस्टिन है</s>,18,original_language_of_film_or_TV_show
41,40,<s>বলিউডের তারকা দম্পতিদের মধ্য়ে প্রথম সারিতেই থাকতেন <e2>আরবাজ খান</e2> ও <e1>মালাইকা অরোরা</e1></s>,11,spouse
42,41,"<s>ডেইম <e1>অ্যানা উইন্টার</e1> ( জন্ম ৩ নভেম্বর ১৯৪৯) একজন ব্রিটিশ-আমেরিকান সাংবাদিক এবং সম্পাদক তিনি ১৯৮৮ সাল থেকে ফ্যাশন ম্যাগাজিন <e2>ভোগ</e2>ের প্রধান সম্পাদক হিসেবে দায়িত্ব পালন করছেন, এছাড়াও তিনি ২০১৩ সাল থেকে ভোগ প্রকাশ করে আসা আমেরিকান ম্যাস মিডিয়া কোম্পানী কন্ডে ন্যাস্টের একজন শিল্প নির্দেশক</s>",10,employer
43,42,"<s>ఆ సమయంలో అశ్వథ్థామ కర్ణుని చూసి "" కర్ణా నిన్ను నీవు పొగుడు కున్నావు కదా! <e1>అర్జునుడు</e1> వచ్చాడు పోరాడు నీకు ఒక వేళ చేత కాకపోతే శకునితో మంతనాలు చెయ్యి. రారాజు ఈ యుద్ధ భారం నీ మీద పెట్టాడు కదా! తప్పుతుందా "" అన్నాడు పరిహాసంగా. కర్ణుడు ఆగ్రహించి "" నేను నీలా భీరువుని కాదు యుద్ధం, నుండి తప్పు కోవడానికి అర్జునుడే కాదు అతని తండ్రి <e2>ఇంద్రుడు</e2> వచ్చినా నేను ఎదిరించగల పరాక్రమ వంతుడను కావాలంటే చూడు "" అన్నాడు. కర్ణుడు అలా మాట్లాడుతూ ఉండగానే భీష్ముడు, ద్రోణుడు, కృపుడు, అశ్వథ్థామ సుయోధనునికి రక్షణగా నిలిచారు. వారి వెనుక బాహ్లిక సోమదత్తులు తమతమ సైన్యాలతో పోరాడారు.</s>",6,father
44,43,"<s><e1>অনিতা বসু পাফ</e1> (জন্ম ২৯ নভেম্বর ১৯৪২ সাল) একজন জার্মান অর্থনীতিবিদ, যিনি পূর্বে অগ্সবার্গ বিশ্ববিদ্যালয়ের একজন অধ্যাপক ছিলেন এবং জার্মানির সোশাল ডেমোক্রেটিক পার্টির একজন রাজনীতিক  তিনি ভারতীয় জাতীয়তাবাদী ও মুক্তিযোদ্ধা সুভাষচন্দ্র বসু (?) (১৮৯৭-১৯৪৫) এবং তার স্ত্রীর <e2>এমিলি শেঙ্কল</e2>ের  কন্যা</s>",5,mother
45,44,<s><e1>মেলানিয়া ট্রাম্প</e1> ২০১৭ সালের ২০ জানুয়ারি থেকে <e2>মার্কিন যুক্তরাষ্ট্রের ফার্স্ট লেডি</e2> ভূমিকায় অবর্তীণ হন  লুইসা অ্যাডামস এর পর তিনিই একমাত্র বিদেশে জন্মগ্রহণ করা ফার্স্ট লেডি</s>,23,position_held
46,45,"<s>तेलुगु देशम पार्टी (तेदेपा) के चार <e2>राज्यसभा सांसद</e2> <e1>वाईएस चौधरी</e1>, टीजी वेंकटेश और सीएम रमेश गुरुवार को भाजपा में शामिल हो गए</s>",23,position_held
47,46,"<s>సింధు దేశాన్ని విడచి, మణిపురవరం చేరుకున్నది అశ్వమేధాశ్వం. నగరాధిపతి <e1>బభ్రువాహనుడు</e1>, వేగుల ద్వారా ఆ సంగతి తెలుసుకున్నాడు. తండ్రి <e2>అర్జునుడు</e2>,తన నగరానికి వస్తున్నాడని తెలిసి ఆనందించాడు. పుర ప్రముఖులతో కలసి ఎదురేగాడు.తండ్రిని అల్లంత దూరంలో చూడగానే చేతులు జోడించాడు. దగ్గరగా వచ్చిన తండ్రి పాదాల మీద పడ్డాడు. పుత్రుడు బభ్రువాహనుడు అలా తన కాళ్ళ మీద పడడం అర్జునునికి నచ్చలేదు. అతన్ని అసహ్యంగా చూసి, ముందుకు కదలిపోయాడు. తండ్రి తనని చేరదీయలేదు, పైగా తనని అసహ్యించుకున్నాడు. తప్పేం చేశాడు తను? కోపం వచ్చింది బభ్రువాహనుడికి. అయినా కోపాన్ని దిగమింగుకున్నాడు. వెళ్ళిపోతున్న తండ్రిని చూడసాగాడు. అంతలో అర్జునుని రథం ఆగింది.‘‘రాకుమారా’’ కేకేశాడు అర్జునుడు. పరుగున చేరుకున్నాడక్కడికి బభ్రువాహనుడు.‘‘నీలాంటి రాకుమారులు అశ్వమేధ తురంగమాన్ని అడ్డుకోవాలి. బంధించాలి. బంధించి రారమ్మని యుద్ధానికి పిలవాలి. అంతేకాని, రాజుల పాదాల మీద పడి, నమస్కరించడం సిగ్గుచేటు. యువకుడివి. యుద్ధాన్ని ఆహ్వానించాలి. అది రాజధర్మం. ఆ ధర్మాన్ని కాదని కాళ్ళ మీద పడడం...ఛిఛీ! పిరికిపందల పని చేశావు. నీ ముఖం చూడాలంటేనే అసహ్యంగా ఉంది.’’ అన్నాడు అర్జునుడు.</s>",6,father
48,47,<s><e1>ఈలా గాంధీ</e1> మహాత్మా గాందీ రెండో కుమారుడు <e2>మణిలాల్ గాంధీ</e2> కుమార్తె. ఆమె నేడు ఒక సామాజిక కార్యకర్తగా పని చేస్తున్నారు. ఆమె రిటైర్డ్ ప్రొఫెసర్. ఎంపీగా కూడా పని చేశారు. ఏడేళ్ల వయసులో గాంధీజీ ఒళ్లో పెరిగిన ఆమె దక్షిణాఫ్రికాలో గాంధీజీ శాంతి మిషన్‌ను ఇంకా సజీవంగా ఉంచారు.</s>,6,father
49,48,<s><e2>अमरीश पुरी</e2>  (जन्म:२२ जून १९३२ -मृत्यु:१२ जनवरी २००५) चरित्र अभिनेता <e1>मदन पुरी</e1> के छोटे भाई अमरीश पुरी हिन्दी फिल्मों की दुनिया का एक प्रमुख स्तंभ रहे हैं</s>,3,sibling
